Price,Area,No. of Bedrooms,Gymnasium,SwimmingPool,LandscapedGardens,IndoorGames,SportsFacility,ATM,ClubHouse,24X7Security,PowerBackup,CarParking,LiftAvailable,furnishing
6.437,1.29,2,0,0,0,0,0,0,0,0,1,0,1,0
6.112,1.225,2,0,0,0,0,0,0,0,0,1,0,1,0
6.487,1.3,2,0,0,0,0,0,0,0,0,1,0,1,0
9.412,1.247,2,1,1,1,1,1,0,1,1,1,1,1,0
10.5,1.486,3,1,1,1,1,1,0,1,1,1,1,1,0
10.2,1.433,3,1,1,1,1,1,0,1,1,1,1,1,0
4.722,1.152,2,1,1,1,1,1,0,1,1,1,1,1,0
4.586,1.119,2,1,1,1,1,1,0,1,1,1,1,1,0
4.582,1.118,2,1,1,1,1,1,0,1,1,1,1,1,0
6.787,1.656,3,1,1,1,1,1,0,1,1,1,1,1,0
9.319,1.629,3,1,1,1,1,1,0,1,1,1,1,1,0
6.892,1.237,2,1,1,1,1,1,0,1,1,1,1,1,0
9.277,1.275,2,1,1,1,1,1,0,1,1,1,1,0,0
11.6,1.615,3,1,1,1,1,1,0,1,1,1,1,0,0
10.9,1.515,3,1,1,1,1,1,0,1,1,1,1,0,0
10.5,1.455,3,1,1,1,1,1,0,1,1,1,1,0,0
9.859,1.36,3,1,1,1,1,1,0,1,1,1,1,0,0
6.973999,1.409,3,1,0,0,0,0,0,0,1,1,1,1,0
5.705,1.139,2,1,0,0,0,0,0,0,1,1,1,1,0
5.772,1.154,2,1,0,0,0,0,0,0,1,1,1,1,0
6.720999,1.353,3,1,0,0,0,0,0,0,1,1,1,1,0
6.761,1.362,3,1,0,0,0,0,0,0,1,1,1,1,0
5.677,1.133,2,1,0,0,0,0,0,0,1,1,1,1,0
5.384,1.068,2,1,0,0,0,0,0,0,1,1,1,1,0
9.141,1.54,3,1,1,1,0,0,0,0,1,1,0,0,0
9.522,1.61,3,1,1,1,0,0,0,0,1,1,0,0,0
10.0,1.715,3,1,1,1,0,0,0,0,1,1,0,0,0
7.211,1.195,2,1,1,1,0,0,0,0,1,1,0,0,0
8.514,1.425,3,1,1,1,0,0,0,0,1,1,0,0,0
10.3,1.76,3,1,1,1,0,0,0,0,1,1,0,0,0
7.783,1.3,2,1,1,1,0,0,0,0,1,1,0,0,0
7.429,1.235,2,1,1,1,0,0,0,0,1,1,0,0,0
7.809999,1.305,2,1,1,1,0,0,0,0,1,1,0,0,0
3.506,0.66,1,1,1,1,1,0,1,1,1,1,1,0,0
6.25,1.12,2,1,1,1,1,0,1,1,1,1,1,0,0
6.25,1.12,2,1,1,1,1,0,1,1,1,1,1,0,0
3.797999,0.715,1,1,1,1,1,0,1,1,1,1,1,0,0
3.797999,0.715,1,1,1,1,1,0,1,1,1,1,1,0,0
5.034,0.91,2,1,1,1,1,0,1,1,1,1,1,0,0
5.034,0.91,2,1,1,1,1,0,1,1,1,1,1,0,0
7.897,1.43,3,1,1,1,1,0,1,1,1,1,1,0,0
7.897,1.43,3,1,1,1,1,0,1,1,1,1,1,0,0
5.327,0.965,2,1,1,1,1,0,1,1,1,1,1,0,0
5.327,0.965,2,1,1,1,1,0,1,1,1,1,1,0,0
8.269,1.5,3,1,1,1,1,0,1,1,1,1,1,0,0
8.269,1.5,3,1,1,1,1,0,1,1,1,1,1,0,0
5.958,1.065,2,1,1,1,1,0,1,1,1,1,1,0,0
5.958,1.065,2,1,1,1,1,0,1,1,1,1,1,0,0
6.9,1.273,2,1,1,1,1,0,0,1,1,1,1,1,0
9.7,1.705,3,1,1,1,1,0,0,1,1,1,1,1,0
7.3,1.304,2,1,1,1,1,0,0,1,1,1,1,1,0
9.18,1.7,3,1,1,1,1,1,0,1,1,1,1,1,0
6.986,1.277,2,1,1,1,1,0,0,1,1,1,0,1,0
6.081,1.111,2,1,1,1,1,0,0,1,1,1,0,1,0
7.891,1.443,3,1,1,1,1,0,0,1,1,1,0,1,0
6.07,1.109,2,1,1,1,1,0,0,1,1,1,0,1,0
5.961,1.089,2,1,1,1,1,0,0,1,1,1,0,1,0
8.442,1.544,3,1,1,1,1,0,0,1,1,1,0,1,0
9.003,1.647,3,1,1,1,1,0,0,1,1,1,0,1,0
5.923,1.082,2,1,1,1,1,0,0,1,1,1,0,1,0
6.174,1.128,2,1,1,1,1,0,0,1,1,1,0,1,0
5.994,1.095,2,1,1,1,1,0,0,1,1,1,0,1,0
8.18,1.496,3,1,1,1,1,0,0,1,1,1,0,1,0
7.662,1.401,3,1,1,1,1,0,0,1,1,1,0,1,0
8.763,1.538,3,1,1,1,1,1,0,1,1,1,1,1,0
8.957,1.573,3,1,1,1,1,1,0,1,1,1,1,1,0
6.581,1.181,2,1,1,1,1,1,0,1,1,1,1,1,0
9.64,1.687,3,1,1,1,1,1,0,1,1,1,1,1,0
6.664,1.196,2,1,1,1,1,1,0,1,1,1,1,1,0
