Area,Location,City,Price
1350,3,0,6736000
1650,3,0,8233000
1355,3,0,6761000
1325,3,0,6611000
1260,3,0,6287000
1290,3,0,6437000
1225,3,0,6112000
1300,3,0,6487000
1247,1,0,9412000
1486,1,0,10500000
1433,1,0,10200000
1152,4,0,4722000
1119,4,0,4586000
1118,4,0,4582000
1656,4,0,6787000
1629,5,0,9319000
1237,5,0,6892000
1275,44,0,9277000
1615,44,0,11600000
1515,44,0,10900000
1455,44,0,10500000
1360,44,0,9859000
1409,7,0,6973999
1139,7,0,5705000
1154,7,0,5772000
1353,7,0,6720999
1362,7,0,6761000
1133,7,0,5677000
1068,7,0,5384000
1540,8,0,9141000
1610,8,0,9522000
1715,8,0,10000000
1195,8,0,7211000
1425,8,0,8514000
1760,8,0,10300000
1300,8,0,7783000
1235,8,0,7429000
1305,8,0,7809999
1120,9,0,6250000
715,9,0,3797999
910,9,0,5034000
1430,9,0,7897000
965,9,0,5327000
1500,9,0,8269000
1065,9,0,5958000
1273,10,0,6900000
1705,10,0,9700000
1304,10,0,7300000
1700,11,0,9180000
1277,60,0,6986000
1111,60,0,6081000
1443,60,0,7891000
1109,60,0,6070000
1089,60,0,5961000
1544,60,0,8442000
1647,60,0,9003000
1082,60,0,5923000
1128,60,0,6174000
1095,60,0,5994000
1496,60,0,8180000
1401,60,0,7662000
1538,5,0,8763000
1573,5,0,8957000
1181,5,0,6581000
1687,5,0,9640000
1196,5,0,6664000
1190,5,0,6631000
1766,5,0,10000000
1730,5,0,9879000
1532,5,0,8529000
1305,12,0,7252000
1645,12,0,9037000
1315,12,0,7298000
1950,12,0,10400000
1750,12,0,9520000
1300,12,0,7229000
1830,12,0,9887000
1935,12,0,10300000
1285,12,0,7159999
2010,12,0,10700000
1615,12,0,8900000
1720,12,0,9382000
1325,12,0,7344000
1270,12,0,7091000
1320,13,0,6279000
1100,13,0,5306000
1405,13,0,6655000
1075,13,0,5195000
1140,13,0,5483000
1150,13,0,5527000
1350,13,0,6412000
1265,13,0,6036000
1015,13,0,4930000
1395,13,0,6611000
1070,13,0,5173000
1270,13,0,6058000
1050,13,0,5085000
1355,13,0,6434000
1090,13,0,5262000
1485,8,0,6681999
1450,8,0,6525000
1555,8,0,6997000
1355,8,0,6097000
1360,8,0,6120000
1365,8,0,6142000
1495,8,0,6727000
1395,8,0,6277000
1500,8,0,6750000
1435,8,0,6456999
1310,14,0,5240000
1030,14,0,4120000
1275,15,0,7012000
1490,15,0,8195000
1706,16,0,8050000
1258,16,0,5900000
1723,16,0,8100000
1369,16,0,6400000
1335,16,0,6275000
2000,8,0,14400000
1900,8,0,13700000
1560,8,0,11399999
1097,17,0,4500000
3300,0,0,29600000
1195,33,0,8800000
2321,33,0,15400000
1655,33,0,11000000
2172,2,0,9122000
1505,61,0,5267000
1002,61,0,3507000
1376,61,0,4816000
1232,61,0,4312000
1513,61,0,5295000
1056,61,0,3696000
1183,61,0,4140000
1095,61,0,3832000
965,61,0,3377000
1303,61,0,4560000
1433,61,0,5015000
1077,61,0,3769000
